Date,City,Station_ID,Year,Month,Day,Season,Max_Temp_F,Min_Temp_F,Avg_Temp_F,Max_Temp_C,Min_Temp_C,Avg_Temp_C,Precipitation_in,Precipitation_mm,Snowfall_in,Snowfall_cm,Snow_Depth_in,Avg_Wind_Speed_mph,Avg_Wind_Speed_kmh,Max_Wind_Speed_mph,Fog_Present,Condition
2020-01-13,New York,USW00094728,2020,1,13,Winter,46,37,41.5,7.777777777777778,2.7777777777777777,5.277777777777778,0.0,0.0,0.0,0.0,0.0,4.47,7.1937498,14.1,,Clear
2020-01-14,Chicago,USW00094846,2020,1,14,Winter,39,25,32.0,3.888888888888889,-3.888888888888889,0.0,0.0,0.0,0.0,0.0,1.2,8.5,13.67939,21.9,    1,Freezing
2020-01-14,Los Angeles,USW00023174,2020,1,14,Winter,62,48,55.0,16.666666666666668,8.88888888888889,12.777777777777779,0.0,0.0,0.0,0.0,0.0,5.14,8.2720076,13.0,,Clear
2020-01-14,New York,USW00094728,2020,1,14,Winter,46,39,42.5,7.777777777777778,3.888888888888889,5.833333333333333,0.07,1.778,0.0,0.0,0.0,3.8,6.115492,12.1,    1,Clear
2020-01-15,Chicago,USW00094846,2020,1,15,Winter,36,25,30.5,2.2222222222222223,-3.888888888888889,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,8.05,12.955187,21.9,    1,Freezing
2020-01-15,Los Angeles,USW00023174,2020,1,15,Winter,64,47,55.5,17.77777777777778,8.333333333333334,13.055555555555555,0.0,0.0,0.0,0.0,0.0,5.14,8.2720076,13.0,,Clear
2020-01-15,New York,USW00094728,2020,1,15,Winter,50,41,45.5,10.0,5.0,7.5,0.0,0.0,0.0,0.0,0.0,5.14,8.2720076,13.0,    1,Clear
2020-01-16,Chicago,USW00094846,2020,1,16,Winter,29,11,20.0,-1.6666666666666667,-11.666666666666666,-6.666666666666667,0.0,0.0,0.0,0.0,0.0,11.63,18.716624200000002,21.9,,Freezing
2020-01-16,Los Angeles,USW00023174,2020,1,16,Winter,61,49,55.0,16.11111111111111,9.444444444444445,12.777777777777779,0.26,6.604,,,0.0,5.82,9.3663588,18.1,    1,Rainy
2020-01-16,New York,USW00094728,2020,1,16,Winter,49,33,41.0,9.444444444444445,0.5555555555555556,5.0,0.11,2.794,0.0,0.0,0.0,10.29,16.5601086,21.9,    1,Rainy
2020-01-17,Chicago,USW00094846,2020,1,17,Winter,29,11,20.0,-1.6666666666666667,-11.666666666666666,-6.666666666666667,0.37,9.398,3.1,7.8740000000000006,0.0,10.51,16.9141634,25.1,    1,Snowy
2020-01-17,Los Angeles,USW00023174,2020,1,17,Winter,62,50,56.0,16.666666666666668,10.0,13.333333333333334,0.07,1.778,0.0,0.0,0.0,4.92,7.9179528,14.1,    1,Clear
2020-01-17,New York,USW00094728,2020,1,17,Winter,33,21,27.0,0.5555555555555556,-6.111111111111111,-2.7777777777777777,0.0,0.0,0.0,0.0,0.0,10.74,17.2843116,23.9,,Freezing
2020-01-18,Chicago,USW00094846,2020,1,18,Winter,35,5,20.0,1.6666666666666667,-15.0,-6.666666666666667,0.4,10.16,0.0,0.0,2.0,15.88,25.5563192,31.1,    1,Rainy
2020-01-18,Los Angeles,USW00023174,2020,1,18,Winter,71,48,59.5,21.666666666666668,8.88888888888889,15.277777777777779,0.0,0.0,0.0,0.0,0.0,6.26,10.074468399999999,14.1,,Clear
2020-01-18,New York,USW00094728,2020,1,18,Winter,37,20,28.5,2.7777777777777777,-6.666666666666667,-1.9444444444444444,0.37,9.398,2.1,5.3340000000000005,0.0,4.92,7.9179528,17.0,    1,Snowy
2020-01-19,Chicago,USW00094846,2020,1,19,Winter,19,2,10.5,-7.222222222222222,-16.666666666666668,-11.944444444444445,0.0,0.0,0.0,0.0,2.0,12.97,20.8731398,25.9,,Freezing
2020-01-19,Los Angeles,USW00023174,2020,1,19,Winter,77,52,64.5,25.0,11.11111111111111,18.055555555555557,0.0,0.0,0.0,0.0,0.0,5.82,9.3663588,18.1,,Clear
2020-01-19,New York,USW00094728,2020,1,19,Winter,43,27,35.0,6.111111111111111,-2.7777777777777777,1.6666666666666667,0.0,0.0,0.0,0.0,1.2,8.95,14.403592999999999,17.0,    1,Freezing
2020-01-20,Chicago,USW00094846,2020,1,20,Winter,31,17,24.0,-0.5555555555555556,-8.333333333333334,-4.444444444444445,0.0,0.0,0.0,0.0,2.0,6.71,10.7986714,12.1,,Freezing
2020-01-20,Los Angeles,USW00023174,2020,1,20,Winter,62,55,58.5,16.666666666666668,12.777777777777779,14.722222222222221,0.02,0.508,0.0,0.0,0.0,5.37,8.6421558,13.0,,Clear
2020-01-20,New York,USW00094728,2020,1,20,Winter,31,20,25.5,-0.5555555555555556,-6.666666666666667,-3.611111111111111,0.0,0.0,0.0,0.0,0.0,7.83,12.6011322,18.1,,Freezing
